APPLICATION,PROFILE,LABEL,CONFIG_KEY,CONFIG_VALUE
simurai-orchestrator,default,master,server.port,8093
simurai-orchestrator,default,master,camel.servlet.mapping.context-path,/*

simurai-orchestrator,default,master,environment,stage
simurai-orchestrator,default,master,facilityNum,5505
simurai-orchestrator,default,master,stage,stage
simurai-orchestrator,default,master,simurai.resourceURL,http://localhost:8092/resources?appName=simurai-orchestrator
simurai-orchestrator,default,master,kafka.broker.url,localhost
simurai-orchestrator,default,master,kafka.broker.port,9092
simurai-orchestrator,default,master,kafka.broker.options.send,headerSerializer=#stringToByteHeaderSerializerCustom
simurai-orchestrator,default,master,kafka.broker.options.receive,headerDeserializer=#byteToStringHeaderDeserializerCustom

simurai-orchestrator,default,master,simurai.endpoints[0].name,triggerEventEndpoint
simurai-orchestrator,default,master,simurai.endpoints[0].type,POST
simurai-orchestrator,default,master,simurai.endpoints[0].uri,events
simurai-orchestrator,default,master,simurai.endpoints[1].name,fetchEventEndpoint
simurai-orchestrator,default,master,simurai.endpoints[1].type,GET
simurai-orchestrator,default,master,simurai.endpoints[1].uri,events
simurai-orchestrator,default,master,simurai.endpoints[2].name,batchStatusDeliveredEndpoint
simurai-orchestrator,default,master,simurai.endpoints[2].type,TOPIC
simurai-orchestrator,default,master,simurai.endpoints[2].uri,kafka:hawkeye-${stage}-${facilityNum}-batch-status-delivered?brokers=${kafka.broker.url}:${kafka.broker.port}&${kafka.broker.options.send}
simurai-orchestrator,default,master,simurai.endpoints[3].name,doorStatusRequestEndpoint
simurai-orchestrator,default,master,simurai.endpoints[3].type,TOPIC
simurai-orchestrator,default,master,simurai.endpoints[3].uri,kafka:hawkeye-${stage}-${facilityNum}-door-status-request?brokers=${kafka.broker.url}:${kafka.broker.port}&${kafka.broker.options.send}
simurai-orchestrator,default,master,simurai.endpoints[4].name,dispenseTerminatedEndpoint
simurai-orchestrator,default,master,simurai.endpoints[4].type,TOPIC
simurai-orchestrator,default,master,simurai.endpoints[4].uri,kafka:hawkeye-${stage}-${facilityNum}-dispense-terminated?brokers=${kafka.broker.url}:${kafka.broker.port}&${kafka.broker.options.send}
simurai-orchestrator,default,master,simurai.endpoints[5].name,doorMotionEndpoint
simurai-orchestrator,default,master,simurai.endpoints[5].type,TOPIC
simurai-orchestrator,default,master,simurai.endpoints[5].uri,kafka:hawkeye-${stage}-${facilityNum}-door-motion?brokers=${kafka.broker.url}:${kafka.broker.port}&${kafka.broker.options.send}
simurai-orchestrator,default,master,simurai.endpoints[6].name,orderExtractRequestEndpoint
simurai-orchestrator,default,master,simurai.endpoints[6].type,TOPIC
simurai-orchestrator,default,master,simurai.endpoints[6].uri,kafka:hawkeye-${stage}-${facilityNum}-order-extract-request?brokers=${kafka.broker.url}:${kafka.broker.port}&${kafka.broker.options.send}
simurai-orchestrator,default,master,simurai.endpoints[7].name,failureResolutionEndpoint
simurai-orchestrator,default,master,simurai.endpoints[7].type,TOPIC
simurai-orchestrator,default,master,simurai.endpoints[7].uri,kafka:hawkeye-${stage}-${facilityNum}-failure-resolution?brokers=${kafka.broker.url}:${kafka.broker.port}&${kafka.broker.options.send}
simurai-orchestrator,default,master,simurai.endpoints[8].name,doorStatusResponseEndpoint
simurai-orchestrator,default,master,simurai.endpoints[8].type,TOPIC
simurai-orchestrator,default,master,simurai.endpoints[8].uri,kafka:alert-${stage}-door-status-response?brokers=${kafka.broker.url}:${kafka.broker.port}&${kafka.broker.options.receive}
simurai-orchestrator,default,master,simurai.endpoints[9].name,extractionStatusEndpoint
simurai-orchestrator,default,master,simurai.endpoints[9].type,TOPIC
simurai-orchestrator,default,master,simurai.endpoints[9].uri,kafka:alert-${stage}-order-status-response?brokers=${kafka.broker.url}:${kafka.broker.port}&${kafka.broker.options.receive}
simurai-orchestrator,default,master,simurai.endpoints[10].name,batchReadyEndpoint
simurai-orchestrator,default,master,simurai.endpoints[10].type,TOPIC
simurai-orchestrator,default,master,simurai.endpoints[10].uri,kafka:alert-${stage}-batch-status-ready?brokers=${kafka.broker.url}:${kafka.broker.port}&${kafka.broker.options.receive}
simurai-orchestrator,default,master,simurai.endpoints[11].name,failureEventEndpoint
simurai-orchestrator,default,master,simurai.endpoints[11].type,TOPIC
simurai-orchestrator,default,master,simurai.endpoints[11].uri,kafka:alert-${stage}-failure-event?brokers=${kafka.broker.url}:${kafka.broker.port}&${kafka.broker.options.receive}

simurai-orchestrator,default,master,simurai.events[0].id,1
simurai-orchestrator,default,master,simurai.events[0].tenant,WALMART
simurai-orchestrator,default,master,simurai.events[0].name,DOOR_STATUS_REQUEST
simurai-orchestrator,default,master,simurai.events[0].format,JSON
simurai-orchestrator,default,master,simurai.events[0].source,Walmart
simurai-orchestrator,default,master,simurai.events[0].usage,Request Door status
simurai-orchestrator,default,master,simurai.events[0].errorQueue,alert-${stage}-errors
simurai-orchestrator,default,master,simurai.events[1].id,2
simurai-orchestrator,default,master,simurai.events[1].tenant,WALMART
simurai-orchestrator,default,master,simurai.events[1].name,DOOR_MOTION
simurai-orchestrator,default,master,simurai.events[1].format,JSON
simurai-orchestrator,default,master,simurai.events[1].source,Walmart
simurai-orchestrator,default,master,simurai.events[1].usage,Control the motion of the door
simurai-orchestrator,default,master,simurai.events[1].errorQueue,alert-${stage}-errors
simurai-orchestrator,default,master,simurai.events[2].id,3
simurai-orchestrator,default,master,simurai.events[2].tenant,WALMART
simurai-orchestrator,default,master,simurai.events[2].name,EXTRACTION_REQUEST
simurai-orchestrator,default,master,simurai.events[2].format,JSON
simurai-orchestrator,default,master,simurai.events[2].source,Walmart
simurai-orchestrator,default,master,simurai.events[2].usage,Request customer order totes to be delivered to a terminal for either automated or manual dispense
simurai-orchestrator,default,master,simurai.events[2].errorQueue,alert-${stage}-errors
simurai-orchestrator,default,master,simurai.events[3].id,4
simurai-orchestrator,default,master,simurai.events[3].tenant,WALMART
simurai-orchestrator,default,master,simurai.events[3].name,BATCH_DELIVERED
